request_id,latency_seconds,t_virtual_completion,in_usable_range
1,0.7903368473052979,0.7903368473052979,True
2,0.3681681156158447,1.1585049629211426,True
3,0.2542104721069336,1.4127154350280762,True
4,0.2647464275360107,1.677461862564087,True
5,0.3868246078491211,2.064286470413208,True
6,0.3963298797607422,2.46061635017395,True
7,0.3308143615722656,2.791430711746216,True
8,0.6035938262939453,3.395024538040161,True
9,0.4367601871490478,3.831784725189209,True
10,0.3291890621185303,4.160973787307739,True
11,0.3529582023620605,4.5139319896698,True
12,0.3548943996429443,4.868826389312744,True
13,0.3345005512237549,5.203326940536499,True
14,0.3344800472259521,5.537806987762451,True
15,0.3595070838928222,5.897314071655273,True
16,0.557697057723999,6.4550111293792725,True
17,0.2820513248443603,6.737062454223633,True
18,0.3425712585449219,7.079633712768555,True
19,0.3563151359558105,7.435948848724365,True
20,0.3493514060974121,7.785300254821777,True
21,0.3532783985137939,8.138578653335571,True
22,0.354083776473999,8.49266242980957,True
23,0.365962266921997,8.858624696731567,True
24,0.3516757488250732,9.21030044555664,True
25,0.3424301147460937,9.552730560302734,True
26,0.3518245220184326,9.904555082321167,True
27,0.2533996105194092,10.157954692840576,True
28,0.3901541233062744,10.54810881614685,True
29,0.3217513561248779,10.869860172271729,True
30,0.2462158203125,11.116075992584229,True
31,0.3871383666992187,11.503214359283447,True
32,0.3360636234283447,11.839277982711792,True
33,0.3211214542388916,12.160399436950684,True
34,0.3649411201477051,12.525340557098389,True
35,0.3628246784210205,12.88816523551941,True
36,0.3393683433532715,13.22753357887268,True
37,0.3696837425231933,13.597217321395874,True
38,0.280832290649414,13.878049612045288,True
39,0.3282904624938965,14.206340074539185,True
40,0.3669445514678955,14.57328462600708,True
41,0.3171474933624267,14.890432119369507,True
42,0.4661760330200195,15.356608152389526,True
43,0.3564984798431396,15.713106632232666,True
44,0.3401467800140381,16.053253412246704,True
45,0.3406739234924316,16.393927335739136,True
46,0.3490724563598633,16.742999792099,True
47,0.3343572616577148,17.077357053756714,True
48,0.3794496059417724,17.456806659698486,True
49,0.3523588180541992,17.809165477752686,True
50,0.323566198348999,18.132731676101685,True
51,0.3495833873748779,18.482315063476562,True
52,0.3731694221496582,18.85548448562622,True
53,0.3283474445343017,19.183831930160522,True
54,0.2763004302978515,19.460132360458374,True
55,0.308988094329834,19.769120454788208,True
56,0.3649072647094726,20.13402771949768,True
